step,throughput,stationary
147,0.0,0.0
148,2.0,0.0
149,1.0,0.0
150,2.0,0.0
151,1.0,0.0
152,2.0,0.0
153,0.0,0.0
154,1.0,0.0
155,1.0,0.0
156,1.0,0.0
157,1.0,0.0
158,2.0,0.0
159,1.0,0.0
160,1.0,0.0
161,0.0,0.0
162,2.0,0.0
163,0.0,0.0
164,0.0,0.0
165,1.0,0.0
166,2.0,0.0
167,2.0,0.0
168,2.0,0.0
169,1.0,0.0
170,1.0,0.0
171,0.0,0.0
172,1.0,0.0
173,2.0,0.0
174,1.0,0.0
175,1.0,0.0
176,1.0,0.0
177,0.0,0.0
178,3.0,0.0
179,1.0,0.0
180,1.0,0.0
181,1.0,0.0
182,0.0,0.0
183,1.0,0.0
184,2.0,0.0
185,0.0,0.0
186,2.0,0.0
187,1.0,0.0
188,0.0,0.0
189,1.0,0.0
190,2.0,0.0
191,0.0,0.0
192,2.0,0.0
193,1.0,0.0
194,1.0,0.0
195,2.0,0.0
196,0.0,0.0
197,1.0,0.0
198,3.0,0.0
199,0.0,0.0
200,2.0,0.0
201,0.0,0.0
202,0.0,0.0
203,1.0,0.0
204,3.0,0.0
205,0.0,0.0
206,2.0,0.0
207,0.0,0.0
208,0.0,0.0
209,1.0,0.0
210,3.0,0.0
211,1.0,0.0
212,2.0,0.0
213,0.0,0.0
214,1.0,0.0
215,2.0,0.0
216,1.0,0.0
217,1.0,0.0
218,0.0,0.0
219,0.0,0.0
220,2.0,0.0
221,1.0,0.0
222,0.0,0.0
223,3.0,0.0
224,0.0,0.0
225,3.0,0.0
226,2.0,0.0
227,1.0,0.0
228,1.0,0.0
229,0.0,0.0
230,1.0,0.0
231,2.0,0.0
232,0.0,0.0
233,1.0,0.0
234,0.0,0.0
235,2.0,0.0
236,0.0,0.0
237,2.0,0.0
238,2.0,0.0
239,3.0,0.0
240,0.0,0.0
241,0.0,0.0
242,1.0,0.0
243,2.0,0.0
244,1.0,0.0
245,1.0,0.0
246,0.0,0.0
247,3.0,0.0
248,1.0,0.0
249,3.0,0.0
250,0.0,0.0
251,0.0,0.0
252,3.0,0.0
253,0.0,0.0
254,0.0,0.0
255,2.0,0.0
256,0.0,0.0
257,1.0,0.0
258,2.0,0.0
259,2.0,0.0
260,0.0,0.0
261,2.0,0.0
262,1.0,0.0
263,0.0,0.0
264,2.0,0.0
265,1.0,0.0
266,1.0,0.0
267,1.0,0.0
268,0.0,0.0
269,1.0,0.0
270,1.0,0.0
271,2.0,0.0
272,2.0,0.0
273,0.0,0.0
274,0.0,0.0
275,0.0,0.0
276,1.0,0.0
277,2.0,0.0
278,1.0,0.0
279,0.0,0.0
280,1.0,0.0
281,0.0,0.0
282,4.0,0.0
283,2.0,0.0
284,2.0,0.0
285,1.0,0.0
286,0.0,0.0
287,2.0,0.0
288,1.0,0.0
289,1.0,0.0
290,0.0,0.0
291,0.0,0.0
292,3.0,0.0
293,0.0,0.0
294,1.0,0.0
295,1.0,0.0
296,1.0,0.0
297,2.0,0.0
298,0.0,0.0
299,1.0,0.0
300,3.0,0.0
301,0.0,0.0
302,0.0,0.0
303,3.0,0.0
304,0.0,0.0
305,2.0,0.0
306,1.0,0.0
307,1.0,0.0
308,2.0,0.0
309,1.0,0.0
310,1.0,0.0
311,0.0,0.0
312,2.0,0.0
313,1.0,0.0
314,1.0,0.0
315,0.0,0.0
316,2.0,0.0
317,1.0,0.0
318,1.0,0.0
319,1.0,0.0
